Playlist Name,Playlist ID,Track Name,Artist
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Amargo Adiós,Inspector
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Amor por el Ska,Skaparapid
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Loco (Tu Forma De Ser),Los Auténticos Decadentes
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,40Tone,Felices Adicciones
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Pupilas Lejanas,Los Pericos
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Siguiendo la Luna - Remasterizado 2008,Los Fabulosos Cadillacs
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Razón,Los Caligaris
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Me Estoy Enamorando,Inspector
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,El ataque de las chicas cocodrilo,Hombres G
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,¿Qué vas a saber?,Love of Lesbian
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,Traicionarse,Los Animales También Se Suicidan
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,Soy Infinito,Viniloversus
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,Por Si Mañana No Estoy,Samuraï
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,Cumpleaños,Los Mesoneros
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,Llama Gemela,Odisseo
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,Hoy he recibido flores,Venturi
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,Perdido,Airbag
Rock Total,37i9dQZF1DWU8yQ1nTMCfh,Día Uno,DRIMS
MARROW,37i9dQZF1DXcF6B6QPhFDv,Top 10 staTues tHat CriEd bloOd,Bring Me The Horizon
MARROW,37i9dQZF1DXcF6B6QPhFDv,New Way Out,Poppy
MARROW,37i9dQZF1DXcF6B6QPhFDv,Automatic Sun,The Warning
MARROW,37i9dQZF1DXcF6B6QPhFDv,breakdown.,YUNGBLUD
MARROW,37i9dQZF1DXcF6B6QPhFDv,SPINE,WesGhost
MARROW,37i9dQZF1DXcF6B6QPhFDv,Starburster,Fontaines D.C.
MARROW,37i9dQZF1DXcF6B6QPhFDv,Rainbow,Cage The Elephant
MARROW,37i9dQZF1DXcF6B6QPhFDv,Take A Bite,beabadoobee
MARROW,37i9dQZF1DXcF6B6QPhFDv,Shadow in the Sun,Joe P
MARROW,37i9dQZF1DXcF6B6QPhFDv,Docket (feat. Bully),Blondshell
All New Rock,37i9dQZF1DWZryfp6NSvtz,Theme from Pink Flamingo,Kids In Glass Houses
All New Rock,37i9dQZF1DWZryfp6NSvtz,Favourite,Fontaines D.C.
All New Rock,37i9dQZF1DWZryfp6NSvtz,Afraid To Die,Movements
All New Rock,37i9dQZF1DWZryfp6NSvtz,The Blue-Eyed Devil,Highly Suspect
All New Rock,37i9dQZF1DWZryfp6NSvtz,Terrified,The Used
All New Rock,37i9dQZF1DWZryfp6NSvtz,breakdown.,YUNGBLUD
All New Rock,37i9dQZF1DWZryfp6NSvtz,Sofðu Unga Ástin Mín,KALEO
All New Rock,37i9dQZF1DWZryfp6NSvtz,Glass Half Empty,VOILÀ
All New Rock,37i9dQZF1DWZryfp6NSvtz,The Future Is A Foreign Land,Ghost
All New Rock,37i9dQZF1DWZryfp6NSvtz,Suffocate City (feat. Spencer Charnas of Ice Nine Kills),The Funeral Portrait
