Playlist Name,Playlist ID,Track Name,Artist
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,Please Please Please,Sabrina Carpenter
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,I Had Some Help (Feat. Morgan Wallen),Post Malone
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,BIRDS OF A FEATHER,Billie Eilish
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,Too Sweet,Hozier
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,MILLION DOLLAR BABY,Tommy Richman
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,A Bar Song (Tipsy),Shaboozey
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,Espresso,Sabrina Carpenter
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,Beautiful Things,Benson Boone
Today’s Top Hits,37i9dQZF1DXcBWIGoYBM5M,we can't be friends (wait for your love),Ariana Grande
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,Pehli Dafa,Atif Aslam
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,Pehle Bhi Main,Vishal Mishra
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,Faasle,Kaavish and Quratulain Balouch
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,Tere Bin,Rabbi Shergill
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Jaani
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,Tose Naina,Arijit Singh
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,Soulmate,Badshah
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,"Jab Tak (From ""M.S.Dhoni - The Untold Story"")",Armaan Malik
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar
pov: you're in love,37i9dQZF1DXbQDZkQM83q7,Malang Sajna,Sachet Tandon
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,Fortnight (feat. Post Malone),Taylor Swift
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,favorite,Isabel LaRosa
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,Belong Together,Mark Ambor
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,FE!N (feat. Playboi Carti),Travis Scott
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,Tshwala Bam (feat. S.N.E) - Remix,TitoM
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,A Bar Song (Tipsy),Shaboozey
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,LUNCH,Billie Eilish
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,Always,Armaan Malik
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,Espresso,Sabrina Carpenter
Hot Hits India,37i9dQZF1DX0ieekvzt1Ic,Fame Won’t Love You (feat. Paris Hilton),Sia
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Thoda Thoda Pyaar,Nilesh Ahuja
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Pehli Dafa,Atif Aslam
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Brown Rang,Yo Yo Honey Singh
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Main Rahoon Ya Na Rahoon,Amaal Mallik
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Gulabi Aankhen,Sanam
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,With You,AP Dhillon
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Who’s That Girl,Ikka
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Heeriye (feat. Arijit Singh),Jasleen Royal
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Manjha,Vishal Mishra
I-Pop Chill,37i9dQZF1DWTdCC2tMwtB2,Malang Sajna,Sachet Tandon
