Playlist Name,Playlist ID,Track Name,Artist
Cozy Jazz,37i9dQZF1DX52ln8eMkne9,Imagine,Junity
Cozy Jazz,37i9dQZF1DX52ln8eMkne9,Promise,Laufey
Cozy Jazz,37i9dQZF1DX52ln8eMkne9,This Is Always,Betty Carter
Cozy Jazz,37i9dQZF1DX52ln8eMkne9,Didn't Know About You,Johnny Hodges & His Orchestra
Cozy Jazz,37i9dQZF1DX52ln8eMkne9,Little Paradise,Eliane Elias
Cozy Jazz,37i9dQZF1DX52ln8eMkne9,Everybody Knows,Karen Souza
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,Give Me The Simple Life,Lorez Alexandria
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,April In Paris,Billie Holiday
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,Teach Me Tonight,Dinah Washington
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,There Will Never Be Another You - Vocal Version,Chet Baker
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,But Beautiful,Stan Getz
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,Almost Like Being In Love,Red Garland
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,Till There Was You,Etta Jones
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,The Masquerade Is Over,Nancy Wilson
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine
In the Mood for Jazz,37i9dQZF1DX2iVTU1bf67i,Since I Fell For You - Rudy Van Gelder Edition / 2007 / Digital Remaster,Lee Morgan
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,Wilting,Glass Trio
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,Ludlow,James Jackson Jazz Trio
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,Horizon,Luke Marantz Trio
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,Tip Your Hat,6th Street Jazz
Jazz in the Background,37i9dQZF1DWV7EzJMK2FUI,The First Step,Baker St.
