Playlist Name,Playlist ID,Track Name,Artist
Taaza hai bro!,37i9dQZF1DWSYPG5hvDijP,Tension Mat Le (feat. Mumzy Stranger & DJ LYAN),YUNG SAMMY
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,Accounts,NIJJAR
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,Don't Look 2,Karan Aujla
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,Busy Doin Nothin,Prem Dhillon
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,Winning Speech,Karan Aujla
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,G Flow,Bajwa
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,Khoobia,Nirvair Pannu
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,Jatti Bae,Pavitar Lassoi
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,Famous Enough,Navaan Sandhu
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,ON TOP 2,Karan Aujla
Ghaint Flow,37i9dQZF1DX5OWRwJruafQ,Miami Flow,JERRY
Locked In,37i9dQZF1DWTl4y3vgJOXW,BAND4BAND (feat. Lil Baby),Central Cee
Locked In,37i9dQZF1DWTl4y3vgJOXW,Like That,Future
Locked In,37i9dQZF1DWTl4y3vgJOXW,redrum,21 Savage
Locked In,37i9dQZF1DWTl4y3vgJOXW,Not Like Us,Kendrick Lamar
Locked In,37i9dQZF1DWTl4y3vgJOXW,Type Shit,Future
Locked In,37i9dQZF1DWTl4y3vgJOXW,CARNIVAL,¥$
Locked In,37i9dQZF1DWTl4y3vgJOXW,FE!N (feat. Playboi Carti),Travis Scott
Locked In,37i9dQZF1DWTl4y3vgJOXW,BANDIT,Don Toliver
Locked In,37i9dQZF1DWTl4y3vgJOXW,Push Ups,Drake
Locked In,37i9dQZF1DWTl4y3vgJOXW,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Kiss Me More (feat. SZA),Doja Cat
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Lose Control,Teddy Swims
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Beautiful Things,Benson Boone
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Stick Season,Noah Kahan
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Kill Bill,SZA
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,My Love Mine All Mine,Mitski
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Standing Next to You,Jung Kook
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Feather,Sabrina Carpenter
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Blinding Lights,The Weeknd
All Out 2020s,37i9dQZF1DX2M1RktxUUHG,Kings & Queens,Ava Max
